,ASrNo,Business Name,Add,UniqueId,F_Pincode,new_Add_3,raw_address,country,words_in_address,pin_codes_found,states_found,street_names_found,landmarks_found,shop_house_nos_found,districts_found,village_or_citys_found
10,5677,Minar Restaurant,"L11, Connaught Circus, New Delhii G.P.O., New Delhii",ICL08041094,110001,"L11, Connaught Circus, New Delhi G.P.O., New Delhi","l11, connaught circus, new delhii g.p.o., new delhii",india,"['connaught circus', 'new delhii g.p.o.', 'new delhii', 'l11']",,NCT of Delhi,,,,,
11,5679,Mokil Restorent,"Get Directionscaunaght Place, Caunaght Place, Connaught Place, Central Delhi",ICL08167961,110001,"Connaught Place, Central Delhi","get directionscaunaght place, caunaght place, connaught place, central delhi",india,"['get directionscaunaght place', 'connaught place', 'caunaght place', 'central delhi']",,NCT of Delhi,,,,,
12,5684,Kalpana Restaurant,"Fifty9, 28, Middle Circle, Block G, Connaught Place, New Delhii District, New Delhii",ICL05280225,110001,"Fifty9, 28, Middle Circle, Block G, Connaught Place, New Delhi District, New Delhi","fifty9, 28, middle circle, block g, connaught place, new delhii district, new delhii",india,"['28', 'block g', 'new delhii district', 'middle circle', 'connaught place', 'new delhii', 'fifty9']",,NCT of Delhi,,,,New delhii district,
13,6782,ASHIF GARMENTS,"Janpath Market, Janpath, C",ICL40286411,110001,"Janpath Market, Janpath, C","janpath market, janpath, c",india,"['janpath market', 'c', 'janpath']",,,"Janpath, Janpath market",,,,
14,6789,SABITA GARMENTS,"India Gate, Janpath, Near Sabita Garments",ICL39691741,110001,"India Gate, Janpath, Near Sabita Garments","india gate, janpath, near sabita garments",india,"['near sabita garments', 'janpath', 'india gate']",,,Janpath,Near sabita garments,,,
15,6799,DAHRMEDRA GARMENTS,"Janpath Shop No, 51, Janpath Market, Janpath",ICL00104154,110001,"Janpath Shop No, 51, Janpath Market, Janpath","janpath shop no, 51, janpath market, janpath",india,"['janpath market', '51', 'janpath shop no', 'janpath']",,,"Janpath shop no, Janpath, Janpath market",,Janpath shop no,,
16,6800,NARENDER GARMENTS,"Mini Market, Janpath Connaughtplace New, Connaught Place, Central",ICL00058362,110001,"Mini Market, Janpath Connaughtplace New, Connaught Place, Central","mini market, janpath connaughtplace new, connaught place, central",india,"['janpath connaughtplace new', 'connaught place', 'mini market', 'central']",,,Janpath connaughtplace new,,,,
17,6808,NASEEM GARMENTS,"India Gate, Janpath Road, Krishi Bhawan",ICL10779101,110001,"India Gate, Janpath Road, Krishi Bhawan","india gate, janpath road, krishi bhawan",india,"['krishi bhawan', 'janpath road', 'india gate']",,,Janpath road,,,,
18,6816,UMESH GARMENTS,"Mini Market, Connaught Place New Delhii, Connaugh",ICL20274922,110001,"Mini Market, Connaught Place New Delhi, Connaught","mini market, connaught place new delhii, connaugh",india,"['connaugh', 'mini market', 'connaught place new delhii']",,NCT of Delhi,,,,,
19,6818,SHANU GARMENTS,"Mini Market, Janpath Connaught Place, New Delhii, Connaught Place, Central Delhi",ICL27192659,110001,"Mini Market, Janpath Connaught Place, New Delhi, Connaught Place, Central Delhi","mini market, janpath connaught place, new delhii, connaught place, central delhi",india,"['mini market', 'janpath connaught place', 'connaught place', 'new delhii', 'central delhi']",,NCT of Delhi,Janpath connaught place,,,,
20,6828,SANJAY GARMENTS,"Janpath, Near Sanjay Garments",ICL24685317,110001,"Janpath, Near Sanjay Garments","janpath, near sanjay garments",india,"['near sanjay garments', 'janpath']",,,Janpath,Near sanjay garments,,,
21,6846,Harsh Garments,"Janpath Market, Main Markets, Janpath S.",ICL02089234,110001,"Janpath Market, Main Markets, Janpath S.","janpath market, main markets, janpath s.",india,"['main markets', 'janpath market', 'janpath s.']",,,"Janpath s., Janpath market",,,,
22,6877,Tahir garments,"Janpath Mini Market Delhi, Janpath, Central",ICL27947171,110001,"Janpath Mini Market Delhi, Janpath, Central","janpath mini market delhi, janpath, central",india,"['central', 'janpath mini market delhi', 'janpath']",,NCT of Delhi,"Janpath mini market delhi, Janpath",,,,
23,6910,Taj medical,"Near Dr.Riyaz Clinick Fakirpura Masjid Parpeth, Malkapur, Connaught Place, New Delhii District",ICL49358255,110001,"Near Dr.Riyaz Clinick Fakirpura Masjid Parpeth, Malkapur, Connaught Place, New Delhi District","near dr.riyaz clinick fakirpura masjid parpeth, malkapur, connaught place, new delhii district",india,"['near dr.riyaz clinick fakirpura masjid parpeth', 'malkapur', 'new delhii district', 'connaught place']",,NCT of Delhi,,Near dr.riyaz clinick fakirpura masjid parpeth,,New delhii district,"Near dr.riyaz clinick fakirpura masjid parpeth, Malkapur"
24,7751,RAKESH MOBILE STORE,"L, Janpath, Central, Near Rakesh Mobile Store",ICL02249892,110001,"L, Janpath, Central, Near Rakesh Mobile Store","l, janpath, central, near rakesh mobile store",india,"['near rakesh mobile store', 'central', 'l', 'janpath']",,,Janpath,Near rakesh mobile store,,,
25,23303,SAMSAD MEDICAL STORE,"India Gate, Constitution House, Central",ICL08022339,110001,"India Gate, Constitution House, Central","india gate, constitution house, central",india,"['constitution house', 'central', 'india gate']",,,,,,,
26,23339,Wellbeing Chemists Bengali market,"Hop No 16, Municipal Market, Babar, Road, Bengali Market, New Delhii",ICL40212866,110001,"Hop No 16, Municipal Market, Babar, Road, Bengali Market, New Delhi","hop no 16, municipal market, babar, road, bengali market, new delhii",india,"['babar', 'road', 'hop no 16', 'new delhii', 'municipal market', 'bengali market']",,NCT of Delhi,Road,,,,
27,23355,AHMAD MEDICAL STORE,"India Gate, K G Marg Cannaught Place, Krishi Bhawan",ICL42329576,110001,"India Gate, K G Marg Cannaught Place, Krishi Bhawan","india gate, k g marg cannaught place, krishi bhawan",india,"['k g marg cannaught place', 'krishi bhawan', 'india gate']",,,K g marg cannaught place,,,,
28,23383,Laxmi medical and general stores,"9413228, Connaught Place Subdistrict, New Delhii",ICL03479353,110001,"9413228, Connaught Place Subdistrict, New Delhi","9413228, connaught place subdistrict, new delhii",india,"['connaught place subdistrict', '9413228', 'new delhii']",9413228,NCT of Delhi,,,,Connaught place subdistrict,
29,14059,Baba E Shopping,"A31, Palika Bazar, New Delhii G.P.O., New Delhii",ICL05602918,110001,"A31, Palika Bazar, New Delhi G.P.O., New Delhi","a31, palika bazar, new delhii g.p.o., new delhii",india,"['a31', 'palika bazar', 'new delhii g.p.o.', 'new delhii']",,NCT of Delhi,,,,,
30,1328,PBS Rolls and Street Foods,"Shop No. 5A, Regal Building Behind Cinmea, Connaught Place, Central Delhi",ICL42149007,110001,"Shop No. 5A, Regal Building Behind Cinmea, Connaught Place, Central Delhi","shop no. 5a, regal building behind cinmea, connaught place, central delhi",india,"['regal building behind cinmea', 'shop no. 5a', 'connaught place', 'central delhi']",,NCT of Delhi,,Regal building behind cinmea,Shop no. 5a,,
31,4431,TeaLentils and Co,"Sheel Tara House, Daryaganj, New Delhii",ICL05708373,110002,"Sheel Tara House, Daryaganj, New Delhi","sheel tara house, daryaganj, new delhii",india,"['sheel tara house', 'daryaganj', 'new delhii']",,NCT of Delhi,,,,,
32,5632,Manpreet tea stall,"78 Ansrl Road, Darya Ganj, Central Delhi",ICL32934588,110002,"78 Ansrl Road, Darya Ganj, Central Delhi","78 ansrl road, darya ganj, central delhi",india,"['central delhi', 'darya ganj', '78 ansrl road']",,NCT of Delhi,78 ansrl road,,,,
33,5633,Naeem Ahmed Tea Shop,"Shop No -1800, Kala Mahal Danya Ganj, Darya Ganj, Central Delhi",ICL04116354,110002,"Shop No -1800, Kala Mahal Danya Ganj, Darya Ganj, Central Delhi","shop no -1800, kala mahal danya ganj, darya ganj, central delhi",india,"['darya ganj', 'central delhi', 'shop no -1800', 'kala mahal danya ganj']",,NCT of Delhi,,,Shop no -1800,,
